id,fldUsername,fldCategory,FldData,Calories
mb,Cook Dining Hall,Central Station,Bagel Bar,430
mb,Cook Dining Hall,Central Station,Yogurt Shot Bar,80
mb,Cook Dining Hall,Exhibition,Waffle Bar,800
mb,Cook Dining Hall,Sizzle,Maple Cinnamon Raisin Oatmeal,430
mb,Cook Dining Hall,Sizzle,Scrambled Eggs,80
mb,Cook Dining Hall,Sizzle,Blueberry Pancake,430
ml,Cook Dining Hall,Stacks,Baja Bacon Avocado Wrap,670
ml,Cook Dining Hall,Stacks,Made-To-Order Deli,650
ml,Cook Dining Hall,Pizza,Cheese Pizza,750
ml,Cook Dining Hall,Pizza,Romanian Pasta Pizza,790
ml,Cook Dining Hall,Planet Healthy,Garden Bar,80
ml,Cook Dining Hall,Basil,White Rice,80
ml,Cook Dining Hall,Basil,Roasted Curry Tofu,120